step,ssc_accuracy,sdc_accuracy,mean_ssc_probability,mean_sdc_probability,cluster_added_or_removed
0,0.0,0.6972111553784861,0.37947276,0.6713374,
1,0.5139442231075697,0.5378486055776892,0.5378675,0.5464968,11
2,0.6135458167330677,0.450199203187251,0.59570163,0.50256103,2
3,0.649402390438247,0.450199203187251,0.6174595,0.4993292,12
4,0.7051792828685259,0.4302788844621514,0.65297824,0.4846322,0
5,0.7450199203187251,0.4701195219123506,0.66804826,0.4935099,8
